date,cyano,ndvi,ndwi
2025-02-07,43.65465927124024,,
2025-02-14,28.826474666595463,,
2025-02-21,13.998290061950684,,
2025-02-28,28.24269676208496,,
2025-03-07,9.359519004821776,,
2025-03-14,13.03683614730835,,
2025-03-21,18.582658767700195,,
2025-03-28,18.64871597290039,,
2025-04-04,20.475470542907715,,
2025-04-11,22.30222511291504,,
2025-04-18,18.23317146301269,,
2025-04-25,17.88397979736328,,
2025-05-02,20.92573356628418,,
2025-05-09,20.188905715942383,,
2025-05-16,32.45093711217245,,
2025-05-23,44.71296850840251,,
2025-05-30,56.97499990463257,,
2025-06-06,69.23703130086264,,
2025-06-13,81.4990626970927,,
2025-06-20,93.76109409332275,,
2025-06-27,106.02312548955283,,
2025-07-04,118.28515688578288,,
2025-07-11,130.54718828201294,,
2025-07-18,142.809219678243,,
2025-07-25,155.07125107447308,,
2025-08-01,167.33328247070312,,
