date,cyano,ndvi,ndwi
2025-02-07,51.43715524673461,0.6780106425285339,-0.6576444506645203
2025-02-14,60.587810754776,0.6540376543998718,-0.6301030516624451
2025-02-21,69.73846626281738,0.6300646662712097,-0.6025616526603699
2025-02-28,84.77697372436523,0.6305840611457825,-0.6220790147781372
2025-03-07,88.21108373006184,0.6124796867370605,-0.5975523591041565
2025-03-14,54.59801959991455,0.6086788773536682,-0.6106977462768555
2025-03-21,63.58992958068848,0.5740941762924194,-0.576418936252594
2025-03-28,66.4136962890625,0.5655715465545654,-0.5677834749221802
2025-04-04,68.55750703811646,0.5869914293289185,-0.5840310901403427
2025-04-11,70.70131778717041,0.6084113121032715,-0.6002787053585052
2025-04-18,65.39291381835938,0.6131154298782349,-0.6008397936820984
2025-04-25,62.72776794433594,0.63367760181427,-0.6129900217056274
2025-05-02,69.75735473632812,0.497424453496933,-0.4614939391613006
2025-05-09,116.03500366210938,0.6456654667854309,-0.6163991093635559
2025-05-16,95.00542831420898,0.6559516191482544,-0.6224647214015325
2025-05-23,73.9758529663086,0.6662377715110779,-0.628530333439509
2025-05-30,80.59838358561198,0.6765239238739014,-0.6345959454774857
2025-06-06,87.22091420491536,0.6868100762367249,-0.6406615575154623
2025-06-13,93.84344482421875,0.6970962285995483,-0.6467271695534388
2025-06-20,100.46597544352214,0.7073823809623718,-0.6527927815914154
2025-06-27,107.08850606282553,0.7176685333251953,-0.658858393629392
2025-07-04,113.7110366821289,0.7279546856880188,-0.6649240056673685
2025-07-11,133.23223876953125,0.7382408380508423,-0.6709896177053452
2025-07-18,130.40299606323242,0.7485269904136658,-0.6770552297433218
2025-07-25,150.3153896331787,0.7588131427764893,-0.6831208417812983
2025-08-01,170.227783203125,0.7690992951393127,-0.6891864538192749
