fecha,regular,superior,diesel,glp
2007-06-01 00:00:00,170064.98,441537.39,855757.14,553252.0476190477
2007-07-01 00:00:00,227660.47,451180.82,1118432.25,153167.7857142857
2007-08-01 00:00:00,351306.27,501840.27,824047.47,309647.0714285714
2007-09-01 00:00:00,181015.83,336120.81,497008.84,183484.88095238095
2007-10-01 00:00:00,312120.18,376377.75,885924.86,486194.880952381
2007-11-01 00:00:00,289282.55,512550.51,665114.83,148627.35714285713
2007-12-01 00:00:00,222108.35,542916.97,812776.59,371098.4047619048
2008-01-01 00:00:00,107885.65,204788.3,613819.33,522670.52381952386
2008-02-01 00:00:00,234830.1,545139.83,500922.23,126941.21528571428
2008-03-01 00:00:00,241800.33,405713.48,1095743.35,321294.7629047619
2008-04-01 00:00:00,271554.27,570256.98,682042.07,296531.95238095237
2008-05-01 00:00:00,242628.16,424954.88,710464.76,506589.7857142857
2008-06-01 00:00:00,177838.7,273398.73,817804.84,135630.47619047618
2008-07-01 00:00:00,232129.2,384549.7,541486.15,365117.61904761905
2008-08-01 00:00:00,138376.72,241881.47,713650.52,124909.19047619049
2008-09-01 00:00:00,290621.26,423244.17,544521.54,290330.7380952381
2008-10-01 00:00:00,358036.44,329762.3,344273.02,515833.09523809527
2008-11-01 00:00:00,170365.32,386365.05,809439.42,304780.71428571426
2008-12-01 00:00:00,238398.92,458949.42,524038.42,265854.1666666666
2009-01-01 00:00:00,202484.53476190477,382300.56000000006,941535.7100000001,440807.2142957143
2009-02-01 00:00:00,588346.36,522820.81000000006,914059.3999999999,308898.19147619046
2009-03-01 00:00:00,298459.25,626630.99,893473.7999999999,116357.42957142857
2009-04-01 00:00:00,182218.95999999996,348267.66000000003,816840.02,382796.61904761905
2009-05-01 00:00:00,377337.48000000004,341700.48,621339.9299999999,108032.64285714286
2009-06-01 00:00:00,363676.29,589337.79,735260.51,439954.52380952385
2009-07-01 00:00:00,363911.51,337172.65,850806.89,451892.8333333334
2009-08-01 00:00:00,210495.68,476525.3599999999,842742.17,151179.47619047618
2009-09-01 00:00:00,161783.68,321728.95,611966.22,265512.40476190473
2009-10-01 00:00:00,375067.23,639524.61,869366.3099999999,294299.57142857136
2009-11-01 00:00:00,201213.1,321859.44,894309.88,543498.5238095238
2009-12-01 00:00:00,291525.48,435416.17999999993,1144960.66,121256.64285714286
2010-01-01 00:00:00,173918.35,318949.72,905803.65,437042.3333333333
2010-02-01 00:00:00,336005.72,492452.55,447271.92000000004,410846.40476190473
2010-03-01 00:00:00,157798.77,303762.94,947702.8799999999,148495.38095238095
2010-04-01 00:00:00,433108.23,562996.07,613011.2100000001,410001.09523809515
2010-05-01 00:00:00,279926.94999999995,429729.38,1086036.16,230584.59523809527
2010-06-01 00:00:00,281834.46,464310.8,587828.26,344683.09523809515
2010-07-01 00:00:00,241994.24000000002,456588.39,712889.9299999999,461977.9523809524
2010-08-01 00:00:00,282509.24,475714.12,637252.29,236164.3095238095
2010-09-01 00:00:00,208796.02,321134.56,741721.4199999999,144381.7857142857
2010-10-01 00:00:00,392100.62,493794.29,630692.56,328472.59523809527
2010-11-01 00:00:00,139547.72999999998,241062.75999999995,565627.54,540671.8809523808
2010-12-01 00:00:00,430857.95000000007,652210.77,1135293.92,286501.7380952381
2011-01-01 00:00:00,253700.82,391997.54000000004,1033948.69,511518.14285714284
2011-02-01 00:00:00,343582.85,437769.48000000004,772775.58,313877.1666666666
2011-03-01 00:00:00,291087.16,445920.27,707536.31,297190.3095238095
2011-04-01 00:00:00,326003.70999999996,357349.67,767445.36,426380.21428571426
2011-05-01 00:00:00,326566.61,433038.13,918940.4399999998,238374.11904761905
2011-06-01 00:00:00,230990.13,354604.94,553883.4199999999,345196.2857142857
2011-07-01 00:00:00,188581.4,369694.76,734958.54,148988.5
2011-08-01 00:00:00,201844.49000000005,270765.31,1014324.2799999999,565627.9285714286
2011-09-01 00:00:00,260669.22,335803.82,795554.7100000001,382310.38095238095
2011-10-01 00:00:00,239711.90999999997,351555.66000000003,612133.26,319091.04761904763
2011-11-01 00:00:00,237803.48,450212.80000000005,575406.4800000001,384368.3571428571
2011-12-01 00:00:00,367820.54,534925.36,732921.03,141052.5476190476
2012-01-01 00:00:00,318283.44,434648.17,790123.23,481781.4761904761
2012-02-01 00:00:00,253583.96,372893.49,887963.98,162561.2857142857
2012-03-01 00:00:00,255492.16,354160.85000000003,978693.2899999999,521493.73809523805
2012-04-01 00:00:00,189948.79,399701.69,697871.28,131958.40476190476
2012-05-01 00:00:00,241786.29,380531.85000000003,833370.09,510506.8095238096
2012-06-01 00:00:00,320566.69,550379.3300000001,767124.6499999999,527672.261904762
2012-07-01 00:00:00,142232.47,271509.2,1021995.9,165424.2142857143
2012-08-01 00:00:00,263677.23,361307.2,626706.23,387892.07142857136
2012-09-01 00:00:00,201347.56,372989.29,619651.27,530897.7857142857
2012-10-01 00:00:00,374301.51,600094.0299999999,463054.77,162208.42857142858
2012-11-01 00:00:00,197398.8,359818.54000000004,538552.89,569345.8571428572
2012-12-01 00:00:00,287980.58,419029.17,1324780.96,152926.7619047619
2013-01-01 00:00:00,396416.83999999997,433924.69,749266.6799999999,575318.4523809523
2013-02-01 00:00:00,235502.58000000002,470483.98,709843.02,142772.80952380953
2013-03-01 00:00:00,439386.62,429974.17,832627.57,569013.2380952381
2013-04-01 00:00:00,274680.65,430259.18000000005,860094.78,508649.4523809524
2013-05-01 00:00:00,281823.2,532379.66,1202187.85,181461.59523809524
2013-06-01 00:00:00,293808.6,284038.03,729711.88,536847.1666666666
2013-07-01 00:00:00,259025.83000000002,486075.06,693160.4999999999,352909.0238095238
2013-08-01 00:00:00,221433.2,347066.11000000004,505133.44,359346.0
2013-09-01 00:00:00,300794.99,373303.30999999994,803626.9800000001,394985.89047619054
2013-10-01 00:00:00,281168.85,372946.32999999996,980327.9800000001,415869.338095238
2013-11-01 00:00:00,390941.15,496029.72,903218.47,425669.2385714286
2013-12-01 00:00:00,210096.78,358799.63999999996,791698.89,452414.08380952384
2014-01-01 00:00:00,487880.79000000004,457365.45999999996,1595698.5599999998,371888.7257142857
2014-02-01 00:00:00,312423.86000000004,455726.06,688703.18,336845.1857142857
2014-03-01 00:00:00,472437.63,582572.93,1147182.5,358755.8333333333
2014-04-01 00:00:00,207049.0,270302.22,845051.33,466766.95238095237
2014-05-01 00:00:00,417767.24,563319.79,1008148.0700000001,554784.3238095238
2014-06-01 00:00:00,247114.99,404603.55,694920.6799999999,359135.62095238094
2014-07-01 00:00:00,454196.13,558403.4099999999,845875.8599999999,417570.3414285715
2014-08-01 00:00:00,305285.53,398563.48000000004,760353.3700000001,416068.2995238095
2014-09-01 00:00:00,378741.55999999994,547486.22,598145.89,408998.9328571428
2014-10-01 00:00:00,256340.49000000002,379572.07,762763.24,314868.8866666667
2014-11-01 00:00:00,372809.93000000005,533524.4,1033873.16,487343.7233333334
2014-12-01 00:00:00,491072.11000000004,583081.5700000001,1004032.65,380185.96285714285
2015-01-01 00:00:00,371420.59,471973.3,1324421.9600000002,523352.3085714286
2015-02-01 00:00:00,548714.53,664315.85,955286.0199999999,421268.2223809524
2015-03-01 00:00:00,453536.19,622883.1000000001,1164885.97,497168.5952380952
2015-04-01 00:00:00,537064.59,599558.55,1130870.79,519603.8361904762
2015-05-01 00:00:00,534049.2799999999,618319.2100000001,954782.75,415890.34047619044
2015-06-01 00:00:00,394824.32999999996,525280.85,862071.77,526358.4761904762
2015-07-01 00:00:00,519374.14999999997,616269.01,1149630.4300000002,411971.4314285714
2015-08-01 00:00:00,328552.06999999995,467373.13,919285.9,561563.8095238095
2015-09-01 00:00:00,485906.49,576250.2899999999,754068.7699999999,480268.8857142857
2015-10-01 00:00:00,432666.75,533620.64,1163425.95,423239.36000000004
2015-11-01 00:00:00,574547.76,724273.9700000001,904700.4199999999,637316.4761904761
2015-12-01 00:00:00,319329.71,498798.79,1113876.28,500684.2857142857
2016-01-01 00:00:00,546876.54,729211.4299999999,987507.7799999999,748970.6380952381
2016-02-01 00:00:00,424074.81,405559.45,1167227.96,287337.7380952381
2016-03-01 00:00:00,508542.18000000005,771024.11,1498844.95,504451.0714285714
2016-04-01 00:00:00,527083.64,502728.88,1137213.1,587482.6904761904
2016-05-01 00:00:00,528347.81,615900.31,1035544.08,416912.47142857144
2016-06-01 00:00:00,397477.4,502082.45,800222.53,703319.2333333334
2016-07-01 00:00:00,526652.73,618366.1,859222.6199999999,455823.14285714284
2016-08-01 00:00:00,512202.57,625218.9,701185.75,588310.5428571429
2016-09-01 00:00:00,567786.57,677892.97,1274128.31,306543.4095238095
2016-10-01 00:00:00,455850.75999999995,546154.65,927923.5,717388.5666666667
2016-11-01 00:00:00,476784.16000000003,725548.16,957656.05,505975.97619047615
2016-12-01 00:00:00,473659.59,526573.96,1303735.7799999998,584807.1904761905
2017-01-01 00:00:00,527564.9,748233.5800000001,842993.49,567345.8209523809
2017-02-01 00:00:00,469140.06,497707.41000000003,844676.98,279527.2252380952
2017-03-01 00:00:00,608144.98,734984.24,1351787.92,780048.5861476191
2017-04-01 00:00:00,681303.1099999999,632843.4099999999,1406022.4300000002,530578.142857143
2017-05-01 00:00:00,386088.18,442311.09,889926.86,604702.550952381
2017-06-01 00:00:00,519389.66000000003,582374.34,902659.0,487244.1904761905
2017-07-01 00:00:00,433026.08,769214.06,994338.3,510428.1433333333
2017-08-01 00:00:00,592103.31,607368.72,846696.3500000001,538582.1419047619
2017-09-01 00:00:00,316435.22,401678.98,925397.8699999999,350294.5714285714
2017-10-01 00:00:00,574073.61,657241.76,740198.57,584709.6085714286
2017-11-01 00:00:00,434963.36,504247.31,1135350.1,935986.5090476191
2017-12-01 00:00:00,679441.47,803216.88,1305047.55,595421.4328571428
2018-01-01 00:00:00,571858.0599999999,535784.7,1153831.8900000001,396363.05
2018-02-01 00:00:00,509366.1,629467.9099999999,921684.12,591000.0204761905
2018-03-01 00:00:00,563899.06,529507.15,889227.1,644245.4033333334
2018-04-01 00:00:00,510830.0,617512.28,696962.77,188590.81333333332
2018-05-01 00:00:00,580825.11,580329.35,1592580.34,636234.130952381
2018-06-01 00:00:00,463620.61,558257.59,777679.9099999999,618811.331904762
2018-07-01 00:00:00,543333.77,784601.77,793683.41,584386.1490476191
2018-08-01 00:00:00,663834.04,541557.34,1281364.78,408658.6342857143
2018-09-01 00:00:00,454442.87,536897.09,896266.4299999999,449846.7633333333
2018-10-01 00:00:00,726044.35,663440.3400000001,992682.0399999999,600230.4504761905
2018-11-01 00:00:00,534084.49,509382.86,899588.3400000001,598626.1598412698
2018-12-01 00:00:00,535639.97,631652.56,792198.66,614887.0038095238
2019-01-01 00:00:00,702923.3699999999,684504.84,1195728.2000000002,414086.11666666664
2019-02-01 00:00:00,469437.28,521555.38,1208476.16,460518.7966666667
2019-03-01 00:00:00,678145.38,704276.53,1550052.84,384425.56476190477
2019-04-01 00:00:00,867761.34,656495.95,1215209.05,670633.919047619
2019-05-01 00:00:00,596798.22,568128.4099999999,1011872.8700000001,623466.2185095239
2019-06-01 00:00:00,712731.8,629788.4299999999,1029100.9,612732.2747619048
2019-07-01 00:00:00,531577.64,516273.85000000003,1056569.1099999999,667486.7847619046
2019-08-01 00:00:00,896841.31,713859.98,1167556.8900000001,586430.6452380953
2019-09-01 00:00:00,518043.68,491194.7100000001,717490.02,850778.2085714288
2019-10-01 00:00:00,712672.38,691407.73,1160570.85,225207.04333333333
2019-11-01 00:00:00,791039.02,658706.42,1122990.69,610868.1190476189
2019-12-01 00:00:00,731012.24,797580.75,1098972.3900000001,600003.8504761904
2020-01-01 00:00:00,629414.9,573220.63,999181.2,715600.32
2020-02-01 00:00:00,741509.07,611314.13,1237018.37,451331.7
2020-03-01 00:00:00,735491.29,809640.18,1367335.14,643278.89
2020-04-01 00:00:00,329134.18,453153.09,834366.52,510349.93
2020-05-01 00:00:00,415805.82,170292.5,691066.44,616381.45
2020-06-01 00:00:00,683322.72,415672.19,1066148.05,467664.76
2020-07-01 00:00:00,451717.75,347541.59,779930.57,675337.54
2020-08-01 00:00:00,547899.55,414416.34,791258.19,634320.07
2020-09-01 00:00:00,591799.83,563742.5,1021360.83,315527.09
2020-10-01 00:00:00,861840.54,733692.01,891340.69,960840.53
2020-11-01 00:00:00,696600.14,570262.17,1152909.51,328603.13
2020-12-01 00:00:00,780347.28,777450.55,1050560.83,684160.08
2021-01-01 00:00:00,626537.48,642652.37,1185644.96,475619.49
2021-02-01 00:00:00,715261.34,726508.78,1076824.67,617783.16
2021-03-01 00:00:00,772750.01,850334.64,1345110.18,549815.26
2021-04-01 00:00:00,634408.89,1227173.53,1250171.58,664443.94
2021-05-01 00:00:00,669085.78,649783.14,1279017.24,678501.06
2021-06-01 00:00:00,833544.64,623695.2,1440106.47,466658.55
2021-07-01 00:00:00,833732.31,689717.29,1110409.53,665263.1
2021-08-01 00:00:00,664522.74,685977.45,1175960.64,746002.48
2021-09-01 00:00:00,844430.03,646233.31,896539.24,689829.47
2021-10-01 00:00:00,522701.11,589405.56,1542473.57,696346.9
2021-11-01 00:00:00,692267.31,623392.63,1029780.8,524186.5
2021-12-01 00:00:00,785313.56,640981.15,1294042.31,679415.09
2022-01-01 00:00:00,848902.97,947226.27,1438571.28,657185.7405
2022-02-01 00:00:00,723925.74,673653.8,1217495.31,673218.3012999999
2022-03-01 00:00:00,772406.1,592318.21,1246975.12,713553.4386
2022-04-01 00:00:00,906104.05,493958.31999999995,1284453.73,693964.4
2022-05-01 00:00:00,762776.12,663348.9400000001,1306786.77,667272.19
2022-06-01 00:00:00,641348.46,556311.96,1032070.53,265773.77
2022-07-01 00:00:00,987872.05,611115.01,1116548.97,717652.72
2022-08-01 00:00:00,657942.72,378627.69,1299910.96,735253.72
2022-09-01 00:00:00,869579.64,551589.72,1077517.9000000001,421303.205
2022-10-01 00:00:00,718920.2,529832.42,980527.0800000001,717849.2452
2022-11-01 00:00:00,754135.8599999999,595870.42,1136760.55,691237.42
2022-12-01 00:00:00,841323.98,602458.3,1082107.6400000001,671444.6052
2023-01-01 00:00:00,909391.13,578792.14,1442099.08,497780.69
2023-02-01 00:00:00,725101.2,685183.06,1267967.39,652984.71
2023-03-01 00:00:00,803262.67,633849.05,1317519.91,711978.35
