mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,zona_ocu,mayor_menor,tipo_veh,color_veh,modelo_veh,marca_veh,anio_ocu_file,tipo_eve,edad_grupo,fall_les,sexo_vic,int_o_noint,num_corre,anio_ocu_dataset,anio_ocu,edad_vic
enero,miercoles,10,2,6,611,99,mayor,bus urbano,ignorado,6,jmc,2013,vuelco,55 y mas,lesionado,ignorado,ignorado,42,,2013,-1
enero,miercoles,10,2,6,611,99,mayor,bus urbano,ignorado,6,jmc,2013,vuelco,45-49,lesionado,ignorado,ignorado,43,,2013,-1
enero,miercoles,10,2,6,611,99,mayor,bus urbano,ignorado,6,jmc,2013,vuelco,50-54,lesionado,ignorado,ignorado,44,,2013,-1
enero,miercoles,7,2,1,101,1,mayor,bus urbano,verde,6,jmc,2013,colision,55 y mas,lesionado,ignorado,ignorado,45,,2013,-1
enero,miercoles,7,2,1,101,1,mayor,bus urbano,verde,6,jmc,2013,colision,45-49,lesionado,ignorado,ignorado,46,,2013,-1
enero,jueves,11,2,1,101,10,mayor,bus urbano,rojo,3,asia hero,2013,colision,35-39,lesionado,ignorado,ignorado,47,,2013,-1
enero,jueves,11,2,1,101,10,mayor,bus urbano,rojo,3,asia hero,2013,colision,35-39,lesionado,ignorado,ignorado,48,,2013,-1
enero,jueves,11,2,1,101,10,mayor,bus urbano,rojo,3,asia hero,2013,colision,20-24,lesionado,ignorado,ignorado,49,,2013,-1
enero,jueves,14,3,5,501,3,mayor,motocicleta,ignorado,6,jmc,2013,colision,20-24,fallecimiento,ignorado,ignorado,50,,2013,-1
enero,jueves,19,4,9,917,99,mayor,motocicleta,rojo,6,jmc,2013,colision,55 y mas,lesionado,ignorado,ignorado,51,,2013,-1
enero,jueves,20,4,13,1301,99,mayor,pick up,azul,6,land rover,2013,vuelco,25-29,lesionado,ignorado,ignorado,52,,2013,-1
enero,jueves,20,4,13,1301,99,mayor,pick up,azul,6,land rover,2013,vuelco,20-24,lesionado,ignorado,ignorado,53,,2013,-1
enero,jueves,22,4,2,203,99,menor,microbus,blanco,6,genesis,2013,colision,menor de 15,lesionado,ignorado,ignorado,54,,2013,-1
enero,jueves,22,4,2,203,99,mayor,microbus,blanco,6,genesis,2013,colision,55 y mas,lesionado,ignorado,ignorado,55,,2013,-1
enero,jueves,22,4,2,203,99,menor,microbus,blanco,6,genesis,2013,colision,menor de 15,lesionado,ignorado,ignorado,56,,2013,-1
enero,jueves,22,4,2,203,99,mayor,microbus,blanco,6,genesis,2013,colision,55 y mas,lesionado,ignorado,ignorado,57,,2013,-1
enero,jueves,22,4,2,203,99,mayor,microbus,blanco,6,genesis,2013,colision,40-44,lesionado,ignorado,ignorado,58,,2013,-1
enero,jueves,22,4,2,203,99,mayor,microbus,blanco,6,genesis,2013,colision,55 y mas,lesionado,ignorado,ignorado,59,,2013,-1
enero,jueves,22,4,2,203,99,menor,microbus,blanco,6,genesis,2013,colision,15-19,lesionado,ignorado,ignorado,60,,2013,-1
enero,jueves,22,4,2,203,99,menor,microbus,blanco,6,genesis,2013,colision,menor de 15,lesionado,ignorado,ignorado,61,,2013,-1
enero,jueves,22,4,2,203,99,mayor,microbus,blanco,6,genesis,2013,colision,50-54,lesionado,ignorado,ignorado,62,,2013,-1
enero,jueves,22,4,2,203,99,mayor,microbus,blanco,6,genesis,2013,colision,35-39,lesionado,ignorado,ignorado,63,,2013,-1
enero,jueves,16,3,7,701,99,mayor,microbus,gris,6,genesis,2013,vuelco,55 y mas,lesionado,ignorado,ignorado,64,,2013,-1
enero,jueves,16,3,7,701,99,mayor,microbus,gris,6,genesis,2013,vuelco,55 y mas,lesionado,ignorado,ignorado,65,,2013,-1
enero,viernes,17,3,1,101,9,mayor,motocicleta,negro,6,kinlon,2013,colision,20-24,lesionado,ignorado,ignorado,66,,2013,-1
enero,viernes,7,2,1,101,18,mayor,motocicleta,ignorado,6,jmc,2013,vuelco,35-39,lesionado,ignorado,ignorado,67,,2013,-1
enero,viernes,6,2,20,2008,99,menor,automovil,blanco,2,jmc,2013,colision,menor de 15,lesionado,ignorado,ignorado,68,,2013,-1
enero,viernes,6,2,20,2008,99,mayor,automovil,blanco,2,jmc,2013,colision,30-34,lesionado,ignorado,ignorado,69,,2013,-1
enero,viernes,6,2,20,2008,99,mayor,automovil,blanco,2,jmc,2013,colision,25-29,lesionado,ignorado,ignorado,70,,2013,-1
enero,viernes,6,2,20,2008,99,menor,automovil,blanco,2,jmc,2013,colision,menor de 15,lesionado,ignorado,ignorado,71,,2013,-1
enero,viernes,6,2,20,2008,99,menor,automovil,blanco,2,jmc,2013,colision,15-19,lesionado,ignorado,ignorado,72,,2013,-1
enero,viernes,6,2,20,2008,99,menor,automovil,blanco,2,jmc,2013,colision,menor de 15,lesionado,ignorado,ignorado,73,,2013,-1
enero,viernes,15,3,5,501,99,mayor,automovil,gris,6,geo,2013,colision,40-44,fallecimiento,ignorado,ignorado,74,,2013,-1
enero,viernes,8,2,10,1001,1,mayor,jeep,blanco,6,kinlon,2013,colision,40-44,lesionado,ignorado,ignorado,75,,2013,-1
enero,viernes,8,2,10,1001,1,mayor,motocicleta,negro,6,tvs apache,2013,colision,35-39,lesionado,ignorado,ignorado,76,,2013,-1
enero,viernes,20,4,9,901,7,menor,camioneta,gris,4,kinlon,2013,colision,menor de 15,lesionado,ignorado,ignorado,77,,2013,-1
enero,viernes,18,4,15,1501,99,mayor,automovil,ignorado,6,jmc,2013,vuelco,45-49,lesionado,ignorado,ignorado,78,,2013,-1
