mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,zona_ocu,mayor_menor,tipo_veh,color_veh,modelo_veh,marca_veh,anio_ocu_file,tipo_eve,edad_grupo,fall_les,sexo_vic,int_o_noint,num_corre,anio_ocu_dataset,anio_ocu,edad_vic
abril,domingo,19,4,6,607,99,mayor,pick up,verde,1994,land rover,2015,atropello,30-34,lesionado,hombre,internado,26257,2015,2015,32
abril,domingo,21,4,9,901,11,mayor,automovil,ignorado,9999,jmc,2015,atropello,35-39,fallecimiento,hombre,no internado,26258,2015,2015,38
abril,domingo,20,4,9,901,99,mayor,automovil,rojo,9999,jmc,2015,atropello,50-54,lesionado,hombre,internado,26259,2015,2015,52
abril,domingo,20,4,9,901,99,mayor,automovil,rojo,9999,jmc,2015,atropello,60-64,lesionado,mujer,internado,26260,2015,2015,71
abril,domingo,19,4,13,1301,99,menor,motocicleta,ignorado,9999,jmc,2015,atropello,15-19,fallecimiento,hombre,no internado,26261,2015,2015,16
abril,domingo,18,4,17,1705,99,mayor,pick up,blanco,2012,land rover,2015,atropello,60-64,lesionado,hombre,internado,26262,2015,2015,64
abril,domingo,18,4,17,1705,99,mayor,pick up,blanco,2012,land rover,2015,atropello,55-59,lesionado,mujer,internado,26263,2015,2015,55
abril,domingo,20,4,3,309,99,mayor,automovil,blanco,2005,daewoo,2015,atropello,25-29,lesionado,hombre,internado,26264,2015,2015,27
abril,lunes,22,4,1,101,3,mayor,taxi,blanco,2008,genesis,2015,atropello,35-39,lesionado,hombre,internado,26265,2015,2015,35
abril,lunes,12,3,1,116,1,mayor,ignorado,ignorado,9999,jmc,2015,atropello,25-29,lesionado,hombre,internado,26266,2015,2015,27
abril,lunes,6,2,21,2107,99,mayor,pick up,rojo,9999,jmc,2015,atropello,20-24,fallecimiento,hombre,no internado,26267,2015,2015,24
abril,lunes,22,4,9,901,5,mayor,ignorado,ignorado,9999,jmc,2015,atropello,50-54,fallecimiento,hombre,no internado,26268,2015,2015,52
abril,lunes,16,3,9,901,1,mayor,ignorado,ignorado,9999,jmc,2015,atropello,25-29,fallecimiento,hombre,no internado,26269,2015,2015,25
abril,lunes,19,4,7,701,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,20-24,lesionado,hombre,internado,26270,2015,2015,23
abril,lunes,9,2,7,704,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,15-19,lesionado,hombre,internado,26271,2015,2015,18
abril,martes,18,4,1,101,16,menor,motocicleta,rojo,2010,great wall,2015,atropello,menor de 15,lesionado,hombre,internado,26272,2015,2015,2
abril,martes,13,3,21,2103,99,menor,motocicleta,ignorado,9999,jmc,2015,atropello,menor de 15,lesionado,mujer,internado,26273,2015,2015,8
abril,martes,3,1,10,1001,99,mayor,motocicleta,ignorado,9999,jmc,2015,atropello,30-34,lesionado,hombre,internado,26274,2015,2015,30
abril,martes,14,3,18,1801,99,mayor,motocicleta,negro,9999,kinlon,2015,atropello,25-29,lesionado,hombre,internado,26275,2015,2015,25
abril,miercoles,15,3,1,105,99,menor,motocicleta,azul,2014,datsun,2015,atropello,menor de 15,lesionado,mujer,internado,26276,2015,2015,10
abril,miercoles,11,2,1,108,6,mayor,motocicleta,negro,9999,geo,2015,atropello,55-59,lesionado,mujer,internado,26277,2015,2015,56
abril,miercoles,20,4,5,501,99,mayor,pick up,negro,9999,jmc,2015,atropello,30-34,fallecimiento,hombre,no internado,26278,2015,2015,30
abril,miercoles,22,4,9,901,99,mayor,automovil,azul,9999,jmc,2015,atropello,30-34,lesionado,hombre,internado,26279,2015,2015,33
abril,miercoles,22,4,9,901,99,mayor,automovil,azul,9999,jmc,2015,atropello,35-39,lesionado,hombre,internado,26280,2015,2015,36
abril,miercoles,11,2,13,1301,7,mayor,pick up,blanco,9999,jmc,2015,atropello,60-64,lesionado,hombre,internado,26281,2015,2015,60
abril,miercoles,11,2,13,1301,7,menor,pick up,blanco,9999,jmc,2015,atropello,menor de 15,lesionado,mujer,internado,26282,2015,2015,8
abril,miercoles,14,3,17,1701,99,mayor,pick up,azul,9999,jmc,2015,atropello,55-59,lesionado,hombre,internado,26283,2015,2015,55
abril,miercoles,21,4,14,1401,99,mayor,motocicleta,rojo,9999,jmc,2015,atropello,15-19,lesionado,mujer,internado,26284,2015,2015,18
abril,jueves,19,4,1,107,99,menor,pick up,azul,1982,land rover,2015,atropello,menor de 15,lesionado,mujer,internado,26285,2015,2015,4
abril,jueves,21,4,15,1501,99,mayor,motocicleta,rojo,9999,genesis,2015,atropello,60-64,lesionado,mujer,internado,26286,2015,2015,68
abril,viernes,10,2,1,115,99,mayor,bus extraurbano,verde,9999,jmc,2015,atropello,40-44,lesionado,hombre,internado,26287,2015,2015,40
abril,viernes,13,3,1,108,1,mayor,pick up,rojo,9999,jmc,2015,atropello,45-49,lesionado,hombre,internado,26288,2015,2015,45
abril,viernes,16,3,1,110,99,mayor,motocicleta,rojo,2014,datsun,2015,atropello,60-64,lesionado,hombre,internado,26289,2015,2015,64
abril,viernes,9,2,20,2001,99,mayor,motocicleta,rojo,9999,jmc,2015,atropello,60-64,lesionado,hombre,internado,26290,2015,2015,81
abril,viernes,21,4,12,1216,99,mayor,camion,ignorado,9999,jmc,2015,atropello,15-19,lesionado,hombre,internado,26291,2015,2015,18
abril,sabado,20,4,1,101,12,mayor,pick up,rojo,9999,land rover,2015,atropello,35-39,fallecimiento,hombre,no internado,26292,2015,2015,37
abril,sabado,20,4,1,114,99,menor,automovil,blanco,1994,italika,2015,atropello,menor de 15,lesionado,hombre,internado,26293,2015,2015,13
abril,sabado,20,4,1,114,99,menor,automovil,blanco,1994,italika,2015,atropello,15-19,lesionado,hombre,internado,26294,2015,2015,15
abril,sabado,22,4,1,115,2,mayor,pick up,ignorado,9999,jmc,2015,atropello,20-24,fallecimiento,hombre,no internado,26295,2015,2015,24
abril,sabado,10,2,5,506,99,mayor,pick up,ignorado,9999,jmc,2015,atropello,35-39,fallecimiento,hombre,no internado,26296,2015,2015,37
abril,sabado,17,3,5,501,99,mayor,camion,ignorado,9999,jmc,2015,atropello,20-24,lesionado,hombre,internado,26297,2015,2015,24
abril,sabado,5,1,10,1010,99,mayor,camion,ignorado,9999,jmc,2015,atropello,30-34,fallecimiento,hombre,no internado,26298,2015,2015,32
abril,sabado,22,4,14,1407,99,mayor,motocicleta,rojo,2014,great wall,2015,atropello,60-64,lesionado,mujer,internado,26299,2015,2015,72
abril,sabado,8,2,4,401,99,mayor,microbus,blanco,2006,land rover,2015,atropello,55-59,lesionado,hombre,internado,26300,2015,2015,58
abril,domingo,19,4,1,101,18,mayor,automovil,gris,2001,land rover,2015,atropello,20-24,lesionado,hombre,internado,26301,2015,2015,24
abril,domingo,3,1,1,101,5,mayor,automovil,beige,2006,daewoo,2015,atropello,30-34,fallecimiento,mujer,no internado,26302,2015,2015,30
abril,domingo,18,4,1,113,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,40-44,fallecimiento,hombre,no internado,26303,2015,2015,40
abril,lunes,18,4,8,801,3,menor,automovil,blanco,2011,avanti,2015,atropello,15-19,lesionado,hombre,internado,26304,2015,2015,15
abril,lunes,7,2,16,1611,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,45-49,lesionado,hombre,internado,26305,2015,2015,45
abril,lunes,16,3,1,101,11,mayor,automovil,ignorado,9999,jmc,2015,atropello,40-44,lesionado,mujer,internado,26306,2015,2015,43
abril,lunes,7,2,1,108,1,mayor,automovil,ignorado,9999,jmc,2015,atropello,30-34,lesionado,hombre,internado,26307,2015,2015,30
abril,lunes,12,3,1,101,1,mayor,automovil,ignorado,2006,avanti,2015,atropello,60-64,lesionado,mujer,internado,26308,2015,2015,60
abril,lunes,8,2,1,116,99,mayor,motocicleta,negro,9999,geo,2015,atropello,15-19,lesionado,hombre,internado,26309,2015,2015,18
abril,lunes,22,4,6,601,99,mayor,motocicleta,azul,9999,jmc,2015,atropello,40-44,lesionado,hombre,internado,26310,2015,2015,42
abril,lunes,22,4,6,601,99,mayor,motocicleta,azul,9999,jmc,2015,atropello,20-24,lesionado,mujer,internado,26311,2015,2015,21
abril,lunes,19,4,13,1301,99,ignorado,camion,amarillo,9999,jmc,2015,atropello,65-69,lesionado,hombre,internado,26312,2015,2015,999
abril,martes,1,1,5,501,99,mayor,motocicleta,ignorado,9999,jmc,2015,atropello,50-54,lesionado,hombre,internado,26313,2015,2015,51
abril,martes,17,3,5,509,99,mayor,motocicleta,ignorado,9999,jmc,2015,atropello,60-64,lesionado,mujer,internado,26314,2015,2015,67
abril,martes,22,4,6,601,99,mayor,motocicleta,azul,9999,piaggio,2015,atropello,25-29,lesionado,hombre,internado,26315,2015,2015,26
abril,martes,22,4,6,601,99,mayor,motocicleta,azul,9999,piaggio,2015,atropello,20-24,lesionado,mujer,internado,26316,2015,2015,21
abril,martes,22,4,10,1003,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,30-34,fallecimiento,mujer,no internado,26317,2015,2015,32
abril,martes,18,4,10,1021,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,25-29,lesionado,hombre,internado,26318,2015,2015,29
abril,martes,19,4,17,1703,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,55-59,lesionado,hombre,internado,26319,2015,2015,58
abril,miercoles,15,3,1,101,1,mayor,motocicleta,rojo,2009,kinlon,2015,atropello,30-34,lesionado,hombre,internado,26320,2015,2015,32
abril,miercoles,2,1,1,101,9,mayor,automovil,ignorado,9999,jmc,2015,atropello,25-29,lesionado,hombre,internado,26321,2015,2015,26
abril,miercoles,19,4,22,2201,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,50-54,lesionado,hombre,internado,26322,2015,2015,52
abril,miercoles,12,3,20,2001,99,mayor,automovil,negro,9999,jmc,2015,atropello,55-59,lesionado,mujer,internado,26323,2015,2015,55
abril,miercoles,6,2,5,501,99,ignorado,ignorado,ignorado,9999,jmc,2015,atropello,65-69,fallecimiento,hombre,no internado,26324,2015,2015,999
abril,miercoles,17,3,6,611,99,mayor,pick up,blanco,9999,jmc,2015,atropello,30-34,lesionado,hombre,internado,26325,2015,2015,30
abril,miercoles,15,3,9,901,1,ignorado,camioneta,gris,9999,jmc,2015,atropello,65-69,fallecimiento,hombre,no internado,26326,2015,2015,999
abril,jueves,22,4,22,2212,99,mayor,motocicleta,ignorado,9999,jmc,2015,atropello,60-64,lesionado,mujer,internado,26327,2015,2015,84
abril,jueves,17,3,5,507,99,mayor,bus extraurbano,amarillo,9999,alfa romeo,2015,atropello,40-44,fallecimiento,hombre,no internado,26328,2015,2015,40
abril,jueves,2,1,5,509,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,60-64,fallecimiento,hombre,no internado,26329,2015,2015,72
abril,jueves,18,4,6,609,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,30-34,fallecimiento,hombre,no internado,26330,2015,2015,32
abril,jueves,10,2,9,901,99,mayor,panel,blanco,9999,land rover,2015,atropello,30-34,lesionado,hombre,internado,26331,2015,2015,32
mayo,viernes,10,2,1,115,12,menor,pick up,verde,9999,jeep,2015,atropello,menor de 15,lesionado,mujer,internado,26332,2015,2015,7
mayo,viernes,13,3,6,602,99,mayor,motocicleta,amarillo,9999,jmc,2015,atropello,60-64,lesionado,hombre,internado,26333,2015,2015,80
mayo,sabado,15,3,1,101,1,mayor,pick up,verde,9999,daihatsu,2015,atropello,20-24,lesionado,hombre,internado,26334,2015,2015,24
mayo,sabado,15,3,1,101,1,menor,pick up,verde,9999,daihatsu,2015,atropello,menor de 15,lesionado,mujer,internado,26335,2015,2015,5
mayo,sabado,20,4,1,101,4,mayor,camioneta,negro,9999,kia,2015,atropello,55-59,fallecimiento,hombre,no internado,26336,2015,2015,58
mayo,sabado,16,3,9,920,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,40-44,lesionado,mujer,internado,26337,2015,2015,42
mayo,sabado,14,3,12,1201,99,mayor,pick up,celeste,9999,land rover,2015,atropello,60-64,lesionado,hombre,internado,26338,2015,2015,80
mayo,sabado,18,4,2,201,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,60-64,lesionado,mujer,internado,26339,2015,2015,66
mayo,sabado,2,1,3,301,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,20-24,lesionado,hombre,internado,26340,2015,2015,24
mayo,domingo,12,3,1,101,21,mayor,motocicleta,negro,2013,tvs apache,2015,atropello,20-24,lesionado,hombre,internado,26341,2015,2015,23
mayo,domingo,12,3,1,101,21,mayor,motocicleta,negro,2013,tvs apache,2015,atropello,45-49,lesionado,hombre,internado,26342,2015,2015,48
mayo,domingo,14,3,1,115,1,mayor,camioneta,verde,2003,internacional,2015,atropello,60-64,lesionado,mujer,internado,26343,2015,2015,81
mayo,domingo,12,3,9,920,99,menor,microbus,gris,2007,land rover,2015,atropello,menor de 15,lesionado,hombre,internado,26344,2015,2015,11
mayo,domingo,9,2,8,801,99,menor,automovil,gris,9999,internacional,2015,atropello,menor de 15,lesionado,mujer,internado,26345,2015,2015,1
mayo,domingo,19,4,2,201,99,menor,mototaxi,rojo,9999,tvs apache,2015,atropello,15-19,lesionado,mujer,internado,26346,2015,2015,16
mayo,lunes,14,3,1,108,2,mayor,pick up,azul,9999,daihatsu,2015,atropello,20-24,lesionado,hombre,internado,26347,2015,2015,24
mayo,lunes,16,3,6,602,1,menor,motocicleta,rojo,2004,jmc,2015,atropello,menor de 15,lesionado,mujer,internado,26348,2015,2015,13
mayo,lunes,18,4,9,901,99,menor,automovil,ignorado,9999,jmc,2015,atropello,menor de 15,fallecimiento,hombre,no internado,26349,2015,2015,14
mayo,lunes,15,3,18,1801,99,menor,motocicleta,negro,9999,kinlon,2015,atropello,menor de 15,lesionado,hombre,internado,26350,2015,2015,5
mayo,martes,17,3,1,102,99,mayor,automovil,blanco,1980,daihatsu,2015,atropello,20-24,lesionado,mujer,internado,26351,2015,2015,21
mayo,martes,17,3,1,102,99,mayor,automovil,blanco,1980,daihatsu,2015,atropello,30-34,lesionado,hombre,internado,26352,2015,2015,31
mayo,martes,6,2,1,102,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,45-49,fallecimiento,hombre,no internado,26353,2015,2015,48
mayo,martes,9,2,22,2217,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,60-64,lesionado,mujer,internado,26354,2015,2015,66
mayo,martes,12,3,19,1903,99,menor,pick up,verde,9999,jmc,2015,atropello,menor de 15,lesionado,hombre,internado,26355,2015,2015,8
mayo,martes,13,3,10,1015,1,mayor,motocicleta,rojo,2011,geo,2015,atropello,60-64,lesionado,mujer,internado,26356,2015,2015,65
mayo,martes,19,4,10,1019,99,mayor,motocicleta,rojo,2012,tvs apache,2015,atropello,25-29,lesionado,hombre,internado,26357,2015,2015,26
mayo,martes,16,3,13,1312,99,mayor,pick up,azul,1984,land rover,2015,atropello,35-39,lesionado,mujer,internado,26358,2015,2015,37
mayo,martes,16,3,13,1312,99,menor,pick up,azul,1984,land rover,2015,atropello,menor de 15,lesionado,hombre,internado,26359,2015,2015,4
mayo,martes,21,4,18,1801,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,60-64,lesionado,hombre,internado,26360,2015,2015,61
mayo,martes,22,4,18,1801,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,20-24,lesionado,hombre,internado,26361,2015,2015,24
mayo,martes,21,4,14,1414,99,mayor,mototaxi,ignorado,9999,jmc,2015,atropello,30-34,lesionado,hombre,internado,26362,2015,2015,31
mayo,martes,21,4,14,1414,99,menor,mototaxi,ignorado,9999,jmc,2015,atropello,15-19,lesionado,hombre,internado,26363,2015,2015,15
mayo,martes,21,4,14,1414,99,menor,mototaxi,ignorado,9999,jmc,2015,atropello,menor de 15,lesionado,hombre,internado,26364,2015,2015,11
mayo,miercoles,21,4,19,1903,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,20-24,lesionado,hombre,internado,26365,2015,2015,24
mayo,miercoles,12,3,3,301,99,mayor,motocicleta,azul,2014,great wall,2015,atropello,35-39,lesionado,mujer,internado,26366,2015,2015,35
mayo,miercoles,19,4,1,101,5,ignorado,motocicleta,negro,9999,kinlon,2015,atropello,65-69,lesionado,hombre,internado,26367,2015,2015,999
mayo,miercoles,19,4,1,101,5,mayor,motocicleta,negro,9999,kinlon,2015,atropello,20-24,lesionado,mujer,internado,26368,2015,2015,24
mayo,miercoles,21,4,1,102,99,menor,ignorado,ignorado,9999,jmc,2015,atropello,menor de 15,lesionado,mujer,internado,26369,2015,2015,7
mayo,miercoles,20,4,1,103,99,mayor,motocicleta,gris,2013,kinlon,2015,atropello,30-34,lesionado,hombre,internado,26370,2015,2015,30
mayo,miercoles,11,2,1,108,3,mayor,ignorado,ignorado,9999,jmc,2015,atropello,60-64,lesionado,mujer,internado,26371,2015,2015,65
mayo,miercoles,17,3,12,1213,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,20-24,lesionado,hombre,internado,26372,2015,2015,24
mayo,miercoles,17,3,12,1213,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,20-24,lesionado,hombre,internado,26373,2015,2015,22
mayo,miercoles,16,3,1,105,99,menor,ignorado,ignorado,9999,jmc,2015,atropello,menor de 15,lesionado,mujer,internado,26374,2015,2015,10
mayo,miercoles,8,2,1,103,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,35-39,lesionado,hombre,internado,26375,2015,2015,35
mayo,miercoles,15,3,2,203,99,ignorado,ignorado,ignorado,9999,jmc,2015,atropello,65-69,lesionado,mujer,internado,26376,2015,2015,999
mayo,jueves,17,3,1,101,2,mayor,camion,blanco,9999,daihatsu,2015,atropello,55-59,fallecimiento,hombre,no internado,26377,2015,2015,55
mayo,jueves,16,3,1,101,18,mayor,camioneta,negro,9999,jmc,2015,atropello,50-54,lesionado,mujer,internado,26378,2015,2015,54
mayo,jueves,10,2,1,101,10,mayor,automovil,rojo,1998,jmc,2015,atropello,20-24,lesionado,hombre,internado,26379,2015,2015,24
mayo,jueves,20,4,1,101,11,mayor,microbus,amarillo,9999,land rover,2015,atropello,30-34,lesionado,hombre,internado,26380,2015,2015,34
mayo,jueves,10,2,1,116,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,50-54,lesionado,mujer,internado,26381,2015,2015,52
mayo,jueves,11,2,21,2101,99,mayor,pick up,azul,9999,land rover,2015,atropello,60-64,fallecimiento,mujer,no internado,26382,2015,2015,78
mayo,jueves,8,2,5,501,99,ignorado,motocicleta,negro,9999,jmc,2015,atropello,65-69,lesionado,hombre,internado,26383,2015,2015,999
mayo,jueves,23,4,16,1613,99,mayor,motocicleta,azul,2011,kenworth,2015,atropello,20-24,lesionado,hombre,internado,26384,2015,2015,21
mayo,jueves,23,4,16,1613,99,mayor,motocicleta,azul,2011,kenworth,2015,atropello,25-29,lesionado,hombre,internado,26385,2015,2015,28
mayo,jueves,19,4,16,1607,99,mayor,motocicleta,negro,2015,kinlon,2015,atropello,25-29,lesionado,mujer,internado,26386,2015,2015,25
mayo,jueves,16,3,7,705,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,60-64,fallecimiento,hombre,no internado,26387,2015,2015,84
mayo,viernes,8,2,1,101,25,mayor,bus extraurbano,ignorado,9999,jmc,2015,atropello,60-64,lesionado,hombre,internado,26388,2015,2015,61
mayo,viernes,19,4,5,506,99,mayor,pick up,ignorado,9999,jmc,2015,atropello,35-39,fallecimiento,mujer,no internado,26389,2015,2015,36
mayo,viernes,14,3,6,601,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,25-29,lesionado,hombre,internado,26390,2015,2015,27
mayo,viernes,10,2,18,1801,99,mayor,automovil,rojo,9999,jmc,2015,vuelco,20-24,lesionado,hombre,internado,26391,2015,2015,21
mayo,viernes,19,4,17,1713,99,menor,motocicleta,gris,9999,kinlon,2015,choque,15-19,fallecimiento,hombre,no internado,26392,2015,2015,16
mayo,viernes,23,4,7,701,99,menor,automovil,ignorado,9999,jmc,2015,atropello,menor de 15,lesionado,mujer,internado,26393,2015,2015,7
mayo,sabado,1,1,1,113,99,mayor,automovil,ignorado,9999,land rover,2015,atropello,25-29,lesionado,hombre,internado,26394,2015,2015,26
mayo,sabado,1,1,1,113,99,menor,automovil,ignorado,9999,jmc,2015,atropello,15-19,lesionado,hombre,internado,26395,2015,2015,16
mayo,sabado,22,4,1,110,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,20-24,lesionado,mujer,internado,26396,2015,2015,22
mayo,sabado,23,4,1,110,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,20-24,lesionado,hombre,internado,26397,2015,2015,24
mayo,sabado,12,3,22,2201,99,mayor,camion,ignorado,9999,jmc,2015,atropello,15-19,lesionado,mujer,internado,26398,2015,2015,18
mayo,sabado,6,2,9,901,4,mayor,automovil,azul,1994,land rover,2015,atropello,35-39,lesionado,hombre,internado,26399,2015,2015,36
mayo,sabado,18,4,9,901,3,menor,microbus,azul,1998,land rover,2015,atropello,menor de 15,lesionado,hombre,internado,26400,2015,2015,10
mayo,sabado,11,2,18,1801,99,menor,automovil,ignorado,9999,jmc,2015,atropello,menor de 15,fallecimiento,mujer,no internado,26401,2015,2015,5
mayo,domingo,11,2,19,1901,99,menor,motocicleta,rojo,9999,tvs apache,2015,atropello,menor de 15,lesionado,mujer,internado,26402,2015,2015,9
mayo,domingo,19,4,2,205,99,mayor,motocicleta,gris,2005,kinlon,2015,atropello,60-64,lesionado,mujer,internado,26403,2015,2015,79
mayo,lunes,22,4,1,115,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,60-64,fallecimiento,hombre,no internado,26404,2015,2015,60
mayo,lunes,22,4,1,108,4,mayor,automovil,gris,9999,jmc,2015,atropello,60-64,lesionado,hombre,internado,26405,2015,2015,65
mayo,lunes,15,3,5,503,99,mayor,camion,ignorado,9999,jmc,2015,atropello,60-64,lesionado,hombre,internado,26406,2015,2015,68
mayo,lunes,22,4,5,501,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,60-64,lesionado,hombre,internado,26407,2015,2015,80
mayo,lunes,16,3,11,1101,1,mayor,mototaxi,rojo,2014,tvs apache,2015,atropello,45-49,lesionado,mujer,internado,26408,2015,2015,47
mayo,martes,18,4,1,101,9,mayor,automovil,beige,2003,land rover,2015,atropello,35-39,lesionado,mujer,internado,26409,2015,2015,37
mayo,martes,11,2,1,114,99,mayor,camioneta,azul,9999,daihatsu,2015,atropello,35-39,lesionado,mujer,internado,26410,2015,2015,39
mayo,martes,15,3,1,108,6,mayor,automovil,rojo,9999,italika,2015,atropello,30-34,lesionado,hombre,internado,26411,2015,2015,33
mayo,martes,13,3,20,2001,99,mayor,camion,ignorado,9999,jmc,2015,atropello,15-19,lesionado,mujer,no internado,26412,2015,2015,18
mayo,martes,13,3,20,2001,99,mayor,camion,ignorado,9999,jmc,2015,atropello,20-24,lesionado,hombre,internado,26413,2015,2015,21
mayo,martes,15,3,20,2001,1,menor,ignorado,ignorado,9999,jmc,2015,atropello,menor de 15,lesionado,mujer,internado,26414,2015,2015,8
mayo,martes,11,2,10,1010,99,mayor,pick up,gris,2012,daihatsu,2015,atropello,30-34,lesionado,hombre,internado,26415,2015,2015,32
mayo,martes,1,1,18,1803,99,menor,motocicleta,ignorado,9999,jmc,2015,atropello,menor de 15,lesionado,mujer,internado,26416,2015,2015,14
mayo,martes,0,1,18,1801,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,30-34,lesionado,hombre,internado,26417,2015,2015,34
mayo,martes,22,4,17,1706,99,mayor,pick up,celeste,1992,gmc,2015,atropello,60-64,lesionado,hombre,internado,26418,2015,2015,73
mayo,martes,21,4,14,1414,99,menor,ignorado,ignorado,9999,jmc,2015,atropello,menor de 15,lesionado,hombre,internado,26419,2015,2015,2
mayo,miercoles,23,4,1,114,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,30-34,lesionado,hombre,internado,26420,2015,2015,30
mayo,miercoles,23,4,1,114,99,mayor,ignorado,ignorado,9999,jmc,2015,atropello,25-29,lesionado,mujer,internado,26421,2015,2015,29
mayo,miercoles,2,1,3,302,2,mayor,motocicleta,negro,9999,geo,2015,atropello,20-24,lesionado,hombre,internado,26422,2015,2015,21
mayo,jueves,20,4,17,1710,99,mayor,pick up,gris,9999,jmc,2015,atropello,55-59,lesionado,hombre,internado,26423,2015,2015,58
mayo,jueves,11,2,1,101,18,mayor,cabezal,celeste,9999,dodge,2015,atropello,15-19,lesionado,hombre,internado,26424,2015,2015,18
mayo,jueves,11,2,1,101,18,menor,cabezal,celeste,9999,dodge,2015,atropello,menor de 15,lesionado,mujer,internado,26425,2015,2015,14
mayo,jueves,18,4,16,1607,99,mayor,mototaxi,rojo,9999,jmc,2015,atropello,35-39,lesionado,mujer,internado,26426,2015,2015,35
mayo,jueves,18,4,13,1326,99,mayor,pick up,ignorado,9999,jmc,2015,atropello,15-19,lesionado,hombre,internado,26427,2015,2015,18
mayo,jueves,4,1,3,308,99,mayor,pick up,ignorado,9999,jmc,2015,atropello,45-49,fallecimiento,hombre,no internado,26428,2015,2015,45
mayo,sabado,20,4,1,101,11,mayor,motocicleta,ignorado,9999,jmc,2015,atropello,45-49,fallecimiento,hombre,no internado,26429,2015,2015,45
mayo,viernes,11,2,19,1901,99,mayor,camion,ignorado,9999,jmc,2015,atropello,25-29,fallecimiento,hombre,no internado,26430,2015,2015,28
mayo,sabado,11,2,19,1901,99,menor,camion,ignorado,9999,jmc,2015,atropello,15-19,fallecimiento,hombre,no internado,26431,2015,2015,17
mayo,sabado,16,3,5,508,99,mayor,pick up,ignorado,9999,jmc,2015,atropello,40-44,lesionado,hombre,internado,26432,2015,2015,41
mayo,sabado,11,2,6,602,99,mayor,camion,ignorado,9999,jmc,2015,atropello,15-19,fallecimiento,hombre,no internado,26433,2015,2015,19
mayo,sabado,17,3,10,1001,3,mayor,mototaxi,rojo,2011,tvs apache,2015,atropello,60-64,lesionado,mujer,internado,26434,2015,2015,66
mayo,sabado,17,3,10,1001,3,mayor,mototaxi,rojo,2011,tvs apache,2015,atropello,60-64,lesionado,hombre,internado,26435,2015,2015,69
mayo,sabado,20,4,11,1109,99,mayor,automovil,ignorado,9999,jmc,2015,atropello,50-54,fallecimiento,hombre,no internado,26436,2015,2015,54
mayo,domingo,10,2,20,2002,99,mayor,camion,rojo,1988,freedom,2015,atropello,35-39,lesionado,hombre,no internado,26437,2015,2015,35
mayo,domingo,21,4,7,719,99,mayor,motocicleta,rojo,1988,kenworth,2015,atropello,60-64,lesionado,hombre,internado,26438,2015,2015,63
mayo,lunes,15,3,1,113,99,mayor,camioneta,verde,9999,hino,2015,atropello,40-44,fallecimiento,hombre,no internado,26439,2015,2015,43
mayo,lunes,17,3,12,1204,99,mayor,motocicleta,rojo,9999,kenworth,2015,atropello,30-34,lesionado,hombre,internado,26440,2015,2015,30
mayo,lunes,17,3,12,1204,99,mayor,motocicleta,rojo,9999,kenworth,2015,atropello,30-34,lesionado,hombre,internado,26441,2015,2015,30
mayo,lunes,17,3,12,1204,99,mayor,motocicleta,rojo,9999,kenworth,2015,atropello,40-44,lesionado,hombre,internado,26442,2015,2015,40
mayo,lunes,16,3,3,308,99,mayor,motocicleta,gris,2014,great wall,2015,atropello,60-64,lesionado,mujer,internado,26443,2015,2015,62
mayo,lunes,20,4,11,1109,99,mayor,mototaxi,ignorado,9999,jmc,2015,atropello,55-59,fallecimiento,hombre,no internado,26444,2015,2015,58
mayo,lunes,9,2,9,912,99,mayor,camion,blanco,9999,jaguar,2015,atropello,35-39,fallecimiento,mujer,no internado,26445,2015,2015,35
